epoch,test_acc,train_loss_updated,test_loss
0.0,0.1219,2.300665350755056,0.07173572454452515
1.0,0.1623,2.284369286696116,0.07111684503555298
2.0,0.2172,2.263503244320551,0.07049299330711364
3.0,0.2848,2.243833549022675,0.06985053272247314
4.0,0.3469,2.2236628123124436,0.06918738393783569
5.0,0.4112,2.204061632553736,0.06848960082530975
6.0,0.4761,2.1809768573443096,0.06774001049995422
7.0,0.5344,2.1551507047812146,0.06693375570774078
8.0,0.5771,2.129946245352427,0.0660717534661293
9.0,0.6148,2.1041538530588153,0.06514621523618698
10.0,0.6379,2.0729946223894755,0.06414214124679565
11.0,0.6546,2.041222922007243,0.06306921737194061
12.0,0.6645,2.0056270716587705,0.061919071114063265
13.0,0.6754,1.9697712546586992,0.06069507168531418
14.0,0.6872,1.931416957775752,0.05939254162311554
15.0,0.6979,1.8859907875458402,0.05800269947052002
16.0,0.7036,1.8420455827315645,0.05654585151672363
17.0,0.7115,1.8019328993558887,0.05502664999961853
18.0,0.7204,1.7452579484383264,0.053427936172485355
19.0,0.7284,1.6986870968341825,0.05179391494989395
20.0,0.7331,1.6389834628502526,0.05010093948841095
21.0,0.7385,1.5886450413862865,0.04839297339916229
22.0,0.7449,1.5365825706720355,0.04667796425819397
23.0,0.7486,1.4895226615667343,0.044975770938396456
24.0,0.7528,1.4271359992027284,0.043307620120048525
25.0,0.7599,1.3765921876827876,0.04165609477758408
26.0,0.7649,1.3297872809569042,0.040076317781209944
27.0,0.7734,1.2771587278445564,0.03854440480470658
28.0,0.7784,1.2379608861605325,0.037100724732875824
29.0,0.7823,1.1868604480226834,0.03572158598899841
